Compound,Date,Media Sources,Negative,Neutral,Positive,Tweet,Tweets Ago
0.4019,Sat Feb 02 20:17:00 +0000 2019,@BBC,0.0,0.876,0.124,"As @OtiMabuse and @Joe_Sugg clearly show, you don't need to be a big deal to make a big difference this #RedNoseDay… https://t.co/igWlmnSv6h",0
0.4939,Sat Feb 02 17:55:15 +0000 2019,@BBC,0.0,0.856,0.144,RT @BBCRadio2: 🇺🇸🥧 @DonMcleanonline's 'American Pie' is a classic hit in the folk-rock genre and inspired Madonna. This is the heartbreakin…,1
0.5106,Sat Feb 02 17:55:01 +0000 2019,@BBC,0.0,0.829,0.171,"RT @BBCOne: My eye allergies are having a strong reaction to this scene 😢
@TheLizCarr

#SilentWitness | on @BBCiPlayer https://t.co/4A2uUqh…",2
-0.7003,Sat Feb 02 17:54:53 +0000 2019,@BBC,0.266,0.734,0.0,RT @BBCiPlayer: Nearly half of the UK's population could die if antibiotics stopped working against resistant bacteria. https://t.co/aNu4YA…,3
0.6369,Sat Feb 02 17:54:48 +0000 2019,@BBC,0.0,0.865,0.135,RT @BBCRadio4: The news won't be the same without Jeremy Hardy's take on it. Here are some of the best moments from his years on The News Q…,4
-0.1779,Sat Feb 02 17:01:07 +0000 2019,@BBC,0.13,0.769,0.101,"As we wake up to the damage that plastics cause the environment, nature is offering us some natural solutions... 🌱♻️ https://t.co/3ooEaDvpEU",5
0.2003,Sat Feb 02 17:01:07 +0000 2019,@BBC,0.0,0.905,0.095,"We tend to take it for granted that maps are accurate... but that's not always the case! 🗺
https://t.co/O5qZEAWYTd",6
0.8074,Sat Feb 02 16:01:03 +0000 2019,@BBC,0.0,0.657,0.343,Winterwatch presenter @ChrisGPackham and @BirdTherapy author Joe Harkness talk in a brilliantly honest way about ho… https://t.co/HV4WciXF3X,7
0.0,Sat Feb 02 15:01:09 +0000 2019,@BBC,0.0,1.0,0.0,"Football team Boca Juniors have signed a player named Kevin Mac Allister, and the internet has responded in the onl… https://t.co/kCW2qsqUZI",8
0.3612,Sat Feb 02 14:01:09 +0000 2019,@BBC,0.0,0.848,0.152,"In 1984, Tomorrow's World introduced us to instruments that sound like other instruments... 😮🎸🎶
https://t.co/zueTqYQz3k",9
0.0,Sat Feb 02 13:01:06 +0000 2019,@BBC,0.0,1.0,0.0,"Think your morning commute is a hassle? These Filipino children swim across rivers, holding their books above their… https://t.co/CSJnKrAQFk",10
-0.128,Sat Feb 02 12:01:05 +0000 2019,@BBC,0.189,0.683,0.129,"Up Helly Aa is an annual fire festival (not be confused with Fyre Festival...) on the Shetland Islands 🔥🏴󠁧󠁢󠁳󠁣󠁴󠁿
https://t.co/9bur6TX1dh",11
0.0772,Sat Feb 02 11:02:02 +0000 2019,@BBC,0.0,0.929,0.071,Take your cake baking game to the next level this weekend with this salted chocolate number 😋🍫… https://t.co/uC4Wt4wICd,12
0.8555,Sat Feb 02 09:01:03 +0000 2019,@BBC,0.0,0.682,0.318,"Love to hike? ⛰Then the Sinai Trail, dubbed the 'world's best hike', should be on your bucket list 👉… https://t.co/piRVO76G1O",13
0.6696,Sat Feb 02 09:01:00 +0000 2019,@BBC,0.0,0.824,0.176,Tonight at 7:30pm on @BBCOne: The Greatest Dancer is handing YOU the power in the first of the live shows! 💃🕺 https://t.co/8mK01Cu8zE,14
0.25,Fri Feb 01 20:01:04 +0000 2019,@BBC,0.0,0.909,0.091,Anna Bergstrom has created a shopping mall where everything has one thing in common: every item for sale has been r… https://t.co/MLvbXHCFc5,15
-0.6344,Fri Feb 01 20:01:04 +0000 2019,@BBC,0.16,0.84,0.0,"As more and more species die out, how close are we to being able to bring some animals back from extinction? 🐅🦍🦅
https://t.co/JB4NkWvgKn",16
0.4482,Fri Feb 01 18:34:39 +0000 2019,@BBC,0.072,0.795,0.134,RT @BBCRadio4: The news won't be the same without the Jeremy Hardy take on it. Here are some of the best moments from his years on @TheNews…,17
0.631,Fri Feb 01 18:01:10 +0000 2019,@BBC,0.0,0.828,0.172,"Some of them may be hundreds of years old, but these Chinese proverbs still provide valuable advice for our modern… https://t.co/G13wepStqo",18
0.0,Fri Feb 01 17:19:01 +0000 2019,@BBC,0.0,1.0,0.0,BREAKING: Sir David Attenborough will return to @BBCOne in 2019 to present a new series exploring the seven extraor… https://t.co/PiSXprLP8a,19
0.2023,Fri Feb 01 17:09:21 +0000 2019,@BBC,0.0,0.859,0.141,RT @BBCNews: Clive Swift: Keeping Up Appearances star dies at 82 https://t.co/0GQJ6Kq0Jj,20
0.3612,Fri Feb 01 17:08:23 +0000 2019,@BBC,0.0,0.889,0.111,RT @BBCEarth: BREAKING: Sir David Attenborough will return later this year to present a new natural history series exploring the seven extr…,21
0.0,Fri Feb 01 17:02:04 +0000 2019,@BBC,0.0,1.0,0.0,"How do blue jeans turn into a yellow dress? 👖➡️👗 Behind the scenes of clothes recycling... ♻️
https://t.co/Hr2PqD1tsZ",22
0.4199,Fri Feb 01 16:04:07 +0000 2019,@BBC,0.0,0.892,0.108,"RT @BBCOne: NEWS: More David is coming! 

Sir David Attenborough will return to BBC One later this year to present a new natural history se…",23
0.296,Fri Feb 01 16:03:43 +0000 2019,@BBC,0.0,0.864,0.136,"RT @BBCOne: Join @CherylOfficial, @Jordan_Banjo, @Matt_Morrison, @AleshaOfficial and @OtiMabuse in @GreatDancerTV LIVE shows tomorrow night…",24
-0.4005,Fri Feb 01 15:04:40 +0000 2019,@BBC,0.124,0.876,0.0,RT @BBCTwo: The most tense #DragonsDen pitch EVER? Here's how this chai tea business had EVERYONE on edge... 😬☕️ https://t.co/uAqE1NBWkb,25
0.0,Fri Feb 01 14:01:03 +0000 2019,@BBC,0.0,1.0,0.0,"Quiz: Is this vegan? 🤔🌱
https://t.co/QaLrisSEkm https://t.co/KP2agSHAow",26
0.0,Fri Feb 01 13:01:04 +0000 2019,@BBC,0.0,1.0,0.0,"Hacking computers, 1983 style! 😂👾
https://t.co/ouSN8V49yF",27
0.2263,Fri Feb 01 12:13:29 +0000 2019,@BBC,0.087,0.791,0.123,"RT @BBCOne: Julien Baptiste (@tchekykaryo) will never give up on finding the missing.

He's back in thrilling new drama #Baptiste. Coming s…",28
0.742,Fri Feb 01 12:13:25 +0000 2019,@BBC,0.0,0.77,0.23,"RT @BBCRadio2: “You know, the thing about @bbcdoctorwho is it’s a very nice show to be known for ‘cause people feel very affectionate towar…",29
0.5719,Fri Feb 01 12:01:07 +0000 2019,@BBC,0.0,0.821,0.179,"It's another niche national food day - this time, why not defy the cold and celebrate #NationalBakedAlaskaDay with… https://t.co/yYInzh5fUN",30
0.6369,Fri Feb 01 11:46:24 +0000 2019,@BBC,0.0,0.846,0.154,"RT @BBCRadio4: ""I think I'm best on the radio, really. I know my place. Me and Finisterre."" In 2007, ISIHAC host Jack Dee interviewed Jerem…",31
0.3818,Fri Feb 01 11:46:08 +0000 2019,@BBC,0.0,0.894,0.106,"RT @BBCNews: ""He was very principled, an activist with a lot of causes... he was unique"" - Rory Bremner pays tribute to comedian Jeremy Har…",32
-0.7344,Fri Feb 01 11:40:13 +0000 2019,@BBC,0.273,0.644,0.083,"We were so sad to hear the news that Jeremy Hardy of I'm Sorry I Haven't A Clue and The News Quiz, has died aged 57… https://t.co/v3JA9GxzAV",33
0.8463,Fri Feb 01 09:43:29 +0000 2019,@BBC,0.0,0.71,0.29,"Will it snow? Won't it? Either way, here is a lovely poetic tribute to the weather everyone loves to talk about! ❄️
https://t.co/fZnNLIBvTB",34
0.0,Fri Feb 01 08:01:02 +0000 2019,@BBC,0.0,1.0,0.0,"What would the health implications be if we only ate tinned food? 🥫🤔
https://t.co/aePQCfmPeD https://t.co/9eiBzJl5u5",35
0.6239,Fri Feb 01 07:01:03 +0000 2019,@BBC,0.0,0.806,0.194,"It's amazing how close the #WinterWatch cameras have been getting to life in the Scottish Cairngorms! 😮🐿
https://t.co/AJmV82SLK7",36
0.2263,Thu Jan 31 20:01:07 +0000 2019,@BBC,0.098,0.766,0.136,The race is on to save Africa's vultures; some species have seen a population decrease of up to 80% 😳🦅… https://t.co/hWYjNqwONk,37
0.0,Thu Jan 31 19:01:04 +0000 2019,@BBC,0.0,1.0,0.0,"People with synesthesia experience a blending of the senses, such as sounds and smells 👂👃Listener Julie can taste n… https://t.co/KGz9Y1vpSE",38
-0.6187,Thu Jan 31 18:01:04 +0000 2019,@BBC,0.187,0.813,0.0,"it is estimated that 10% of women suffer from endometriosis, but there is no known cure or cause, and it can take u… https://t.co/mlkIeVLvoH",39
0.0,Thu Jan 31 17:01:03 +0000 2019,@BBC,0.0,1.0,0.0,"An incredible sneak peek behind the scenes of the barricade sequence in #LesMisérables on @BBCOne 👏🎬
https://t.co/MJ0s671JQ0",40
0.0,Thu Jan 31 16:03:55 +0000 2019,@BBC,0.0,1.0,0.0,RT @BBCOne: Has anyone ever noticed that the word ‘paradise’ has the letters for ‘die’ in it? 🤔Death in Para'dies' returns tonight at 9pm.…,41
0.0,Thu Jan 31 14:01:06 +0000 2019,@BBC,0.0,1.0,0.0,How do I de-ice my car? Why do we salt the roads? 🤔 Here are the answers to your most-asked snow questions! ❄️👇… https://t.co/gX2j17QPAB,42
-0.7227,Thu Jan 31 13:01:06 +0000 2019,@BBC,0.24,0.76,0.0,"We've all felt it, and probably caused it, but what is the point in humiliation? 🤔😳
https://t.co/gHye95NYxh",43
0.4201,Thu Jan 31 12:23:05 +0000 2019,@BBC,0.0,0.892,0.108,"Jameal says he feels more like an adult than a child – he’s only 13. 

He is a carer for his mum and for his little… https://t.co/gnpAMYv5mY",44
-0.6476,Thu Jan 31 12:01:05 +0000 2019,@BBC,0.237,0.763,0.0,They had an accident doing... what?!  😂 Here are some of the weirdest professional sporting injuries from over the… https://t.co/9MzVzYijfv,45
0.4404,Thu Jan 31 11:09:37 +0000 2019,@BBC,0.0,0.818,0.182,RT @bbcideas: Could ‘fake news’ be good news for journalism? @CharlieBeckett takes a look... https://t.co/UpY5Arpv5p,46
0.5994,Thu Jan 31 10:12:52 +0000 2019,@BBC,0.0,0.776,0.224,RT @BBC6Music: Jamie Dornan and Rosamund Pike join @laurenlaverne on Thursday morning between 7:30-10:30am. Hopefully Jamie won’t start sle…,47
-0.128,Thu Jan 31 09:01:02 +0000 2019,@BBC,0.061,0.939,0.0,"It can be tough out there for birds to find food in this cold 😢Luckily, this blackbird has hit the jackpot with som… https://t.co/Uo3305jI7S",48
0.9468,Thu Jan 31 08:01:02 +0000 2019,@BBC,0.0,0.542,0.458,"He may be a world-renowned chef, but sometimes mum knows best! Here is a delicious pork chop recipe, courtesy of Ra… https://t.co/P6m7i2b8F4",49
0.5267,Thu Jan 31 07:01:02 +0000 2019,@BBC,0.0,0.764,0.236,"Just some wisdom from Bros to get your day started  🙌 #ThursdayThoughts 
https://t.co/SKJT0L05Sf",50
0.2732,Wed Jan 30 20:01:09 +0000 2019,@BBC,0.0,0.884,0.116,Turkish researchers have managed to create 3.5 tons of plastics from 5 tons of olive stones 😮♻️… https://t.co/22s8ZFWaMu,51
0.6369,Wed Jan 30 19:30:00 +0000 2019,@BBC,0.0,0.826,0.174,"Picasso has been voted the greatest artist of the 20th Century in a public vote for @BBCTwo's #Icons. 🎨

Tune in on… https://t.co/jtChlNs5mP",52
-0.5859,Wed Jan 30 19:01:05 +0000 2019,@BBC,0.16,0.84,0.0,"The Doomsday Clock, which symbolises how close we are to a 'global catastrophe', is now the closest it has been to… https://t.co/zF64W3SoOf",53
-0.7351,Wed Jan 30 18:01:05 +0000 2019,@BBC,0.408,0.592,0.0,"Trevor, the 'world's loneliest duck', has sadly passed away 😔
https://t.co/nCPetvZJsL https://t.co/vDEbcDDkjS",54
0.0,Wed Jan 30 17:38:34 +0000 2019,@BBC,0.0,1.0,0.0,"9 intrepid celebrities. 1 Herculean task. Kilimanjaro: The Return comes to @BBCOne feat:

👉Leigh-Anne &amp; Jade from… https://t.co/1QwXlflOj3",55
0.4939,Wed Jan 30 17:19:07 +0000 2019,@BBC,0.0,0.873,0.127,RT @bbc5live: Coming in March: @bbc5live + @bbcsounds bring you a new podcast with Kevin Pietersen on his mission to save our most iconic a…,56
0.3612,Wed Jan 30 17:01:07 +0000 2019,@BBC,0.0,0.848,0.152,"Ian, Colin, Dave... Do you agree with @AmplifyDot on dogs having human names? 🐶😂
https://t.co/B641ffA0PT",57
0.4019,Wed Jan 30 16:27:37 +0000 2019,@BBC,0.0,0.886,0.114,"RT @BBCSpringwatch: Tonight on #Winterwatch we are showing a very moving short called 'Bird Therapy' looking at how nature can help us 💙

W…",58
0.0,Wed Jan 30 14:01:04 +0000 2019,@BBC,0.0,1.0,0.0,"How venom is being used to advance modern medicine... 🐍💉
https://t.co/nUNMLb2DIt https://t.co/5yMe0wRWTJ",59
0.0,Wed Jan 30 13:03:03 +0000 2019,@BBC,0.0,1.0,0.0,"Here is the American reason we wear poppies for Remembrance. #QI 
https://t.co/Mvj7qnecIm",60
0.0,Wed Jan 30 12:25:01 +0000 2019,@BBC,0.0,1.0,0.0,"The whole of the UK right now 🌨😂 #snow 

(via @BBCThree) https://t.co/2tUQbYm9Na",61
0.0772,Wed Jan 30 12:01:05 +0000 2019,@BBC,0.0,0.942,0.058,"Hussna is just 17 years old, but already has an incredible story of escaping IS and finding a release for the traum… https://t.co/9bMHcMGl9s",62
0.5033,Wed Jan 30 11:58:48 +0000 2019,@BBC,0.0,0.866,0.134,"RT @CBeebiesHQ: 1. Fill in celeb name 📝

2. Fill in #BedtimeStory name 📝

3. This is still CBeebies so keep things clean! 😑

@ChrisEvans…",63
0.0,Wed Jan 30 11:57:54 +0000 2019,@BBC,0.0,1.0,0.0,"RT @BBCOne: The whole family's involved in @MrDDyer's #RightRoyalFamily tonight, including @Dani_MasDyer. Absolutely buzzin' mate. https://…",64
0.7684,Wed Jan 30 11:56:46 +0000 2019,@BBC,0.05,0.754,0.196,RT @bbcideas: There may be no #snow here at Ideas HQ but seeing everyone's pictures has reminded us of this lovely little ode to the white…,65
0.0,Wed Jan 30 11:50:43 +0000 2019,@BBC,0.0,1.0,0.0,RT @BBCFOUR: This Friday YOU take over the music on @BBCFour! ▶️ Friday Night Jukebox Live lets you request a classic BBC performance from…,66
-0.4767,Wed Jan 30 10:21:14 +0000 2019,@BBC,0.14,0.86,0.0,"RT @bbcideas: Why (almost) all world maps are wrong 

More everyday objects that don’t make sense in our playlist👇 
https://t.co/RygQExYaJV…",67
-0.34,Wed Jan 30 09:22:03 +0000 2019,@BBC,0.094,0.906,0.0,"Harry grew up in Poland and was set to train as a priest. He struggled with coming out to his family, and now works… https://t.co/DGtqg0t6mP",68
0.8918,Wed Jan 30 08:01:04 +0000 2019,@BBC,0.0,0.53,0.47,"If you like batch cooking to save time, you'll LOVE this ragu... 😋🍅
https://t.co/Cul0cqkxQY https://t.co/p86plt2aUd",69
0.0,Wed Jan 30 07:53:20 +0000 2019,@BBC,0.0,1.0,0.0,"RT @BBCBreakfast: 🏔ANNOUNCEMENT🏔 

@mrdanwalker is going up #Mountkilimanjo for @comicrelief 👏 

WITH ⭐️ 
@ShirleyBallas 
@OsiUmenyiora 
@D…",70
0.3595,Wed Jan 30 07:01:00 +0000 2019,@BBC,0.0,0.894,0.106,"The @BBCRadio2 #500Words competition is now open! 🙌
Start your story and join us on Thursday 7th Feb at 11am for a… https://t.co/U9VdVerGxG",71
0.0,Tue Jan 29 22:20:45 +0000 2019,@BBC,0.0,1.0,0.0,"People whose ground-breaking work made us see the world differently. 

Voting is now open until 4pm tomorrow, the 3… https://t.co/m0ws6KgzUg",72
0.0,Tue Jan 29 21:51:12 +0000 2019,@BBC,0.0,1.0,0.0,"""Art is what you can get away with.""

His work accounts for one-sixth of all contemporary art sales. Is Warhol your… https://t.co/PzfVy8ZAIo",73
-0.4215,Tue Jan 29 21:36:25 +0000 2019,@BBC,0.104,0.896,0.0,"""The only way to get rid of my fears is to make films about them.""

His films offer an intimate gaze into the stran… https://t.co/kOt0T1Uehd",74
0.5994,Tue Jan 29 21:27:38 +0000 2019,@BBC,0.0,0.822,0.178,"""For most of history, Anonymous was a woman.""

She was a champion of women’s rights and women writers. Does Virgini… https://t.co/ACJfXXdzTL",75
0.0,Tue Jan 29 21:10:43 +0000 2019,@BBC,0.0,1.0,0.0,"""Others have seen what is and asked why. I have seen what could be and asked why not.""

Picasso helped to influence… https://t.co/IF1XEZnAnE",76
0.6369,Tue Jan 29 21:06:05 +0000 2019,@BBC,0.0,0.826,0.174,RT @BFI: Tonight’s episode of @BBC's #Icons series explores the 20th century's greatest artists and writers. Who gets your vote? https://t.…,77
0.0,Tue Jan 29 20:01:03 +0000 2019,@BBC,0.0,1.0,0.0,A very high-carb diet could be the reason that the people of Okinawa have the longest life expectancy on the planet… https://t.co/jmq9H1VDVC,78
0.0,Tue Jan 29 19:01:03 +0000 2019,@BBC,0.0,1.0,0.0,"3D printing technology has evolved to a level where we can print motorbikes! 😱🏍
https://t.co/TlHCi3Ofrk",79
0.431,Tue Jan 29 18:01:03 +0000 2019,@BBC,0.0,0.832,0.168,"A prescription for cheese? 😍 It sounds too good to be true, but doctors in Italy are known to advise eating parmesa… https://t.co/R9Z6PZOlHx",80
0.0,Tue Jan 29 17:01:08 +0000 2019,@BBC,0.0,1.0,0.0,"We've been meaning to tweet about this clip for ages... 😅 #QI 
https://t.co/4guIoUZ649",81
0.8356,Tue Jan 29 15:35:53 +0000 2019,@BBC,0.0,0.695,0.305,"RT @BBCOne: Congratulations to the #SilentWitness team, celebrating 200 episodes of gripping forensic drama!
That’s a whole lot of cases cr…",82
0.4927,Tue Jan 29 13:31:31 +0000 2019,@BBC,0.0,0.862,0.138,#Icons takes a look at the achievements of the 20th Century's most influential figures. Tune in tonight at 9pm to h… https://t.co/K2YYN3CJeg,83
0.0,Tue Jan 29 13:27:00 +0000 2019,@BBC,0.0,1.0,0.0,Alfred Hitchcock. Pablo Picasso. Andy Warhol. Virginia Woolf. Who do you think was the most iconic? #Icons returns… https://t.co/mvKlKLhG2j,84
-0.3818,Tue Jan 29 13:03:03 +0000 2019,@BBC,0.12,0.88,0.0,"This is incredible. After losing his sight, Christopher Fisher listened to over 600 hours of YouTube tutorials to b… https://t.co/a60l0eAoAO",85
0.0,Tue Jan 29 12:01:05 +0000 2019,@BBC,0.0,1.0,0.0,"Quiz: how much do you know about plastic pollution? ♻️☠️
https://t.co/mm4ppDhaLK https://t.co/lbr4hQC9UW",86
0.3595,Tue Jan 29 09:59:57 +0000 2019,@BBC,0.0,0.902,0.098,"RT @BBC_Teach: The @BBCRadio2 #500Words competition is now open!

Start your story and join us on Thursday 7th Feb at 11am for a Live Lesso…",87
0.0,Tue Jan 29 09:56:10 +0000 2019,@BBC,0.0,1.0,0.0,"RT @BBCRadio2: Let their imagination take flight!

Entries for #500Words 2019 are now OPEN! 📚

Know a child aged 5-13 with a flair for stor…",88
0.2732,Tue Jan 29 09:01:01 +0000 2019,@BBC,0.0,0.905,0.095,"""I have the option of stepping out for a while and just being someone different."" Leon and Jamie create elaborate c… https://t.co/mv3uLsDPbc",89
-0.2103,Tue Jan 29 08:02:04 +0000 2019,@BBC,0.087,0.859,0.053,"If you hadn't noticed, it is FREEZING outside ❄️😬 And we can't think of anything we want more for dinner than this… https://t.co/qYPoQFyCUY",90
0.0,Tue Jan 29 07:01:03 +0000 2019,@BBC,0.0,1.0,0.0,"In 1976, BBC Nationwide explored the legend of the fairies at the Rollright Stones. We're not saying the editing bu… https://t.co/z2ksQVAB9S",91
0.4019,Mon Jan 28 20:01:06 +0000 2019,@BBC,0.0,0.87,0.13,A UK teenager will become one of the first NHS patients to receive proton-beam therapy to treat his cancer.… https://t.co/qVwv32RbbM,92
0.4404,Mon Jan 28 19:01:07 +0000 2019,@BBC,0.0,0.791,0.209,"In 1960s Britain, schoolgirls were given lessons on being a good housewife  🍽
https://t.co/0lSVt94bgN",93
0.2023,Mon Jan 28 18:01:03 +0000 2019,@BBC,0.159,0.688,0.152,"There is no direct English translation for 'Koi No Yokan', the Japanese phrase for how we feel just before love. ❤️… https://t.co/FBAJP7tyyN",94
0.4404,Mon Jan 28 17:38:17 +0000 2019,@BBC,0.0,0.873,0.127,"RT @BBC6Music: Tonight from 7pm our @laurenlaverne is on @BBCTheOneShow.

Hope Lauren had a nap since spinning everything from Boards of Ca…",95
-0.5859,Mon Jan 28 17:01:05 +0000 2019,@BBC,0.285,0.607,0.107,"Stressful Monday? The Truth About Stress on @BBCiPlayer explores what it does to your body. 😰
https://t.co/LKJZvINrbx",96
-0.6808,Mon Jan 28 15:29:54 +0000 2019,@BBC,0.228,0.772,0.0,"RT @BBCOne: A shocking incident on a suburban street brings back painful memories for Jack, forcing him to revisit his past.
@EmiliaFox @Th…",97
0.0,Mon Jan 28 14:17:42 +0000 2019,@BBC,0.0,1.0,0.0,RT @bbcthree: ~~~some FAMALAM news~~~ https://t.co/5ZUwHEBrLe,98
0.6124,Mon Jan 28 14:01:03 +0000 2019,@BBC,0.0,0.792,0.208,A rare red panda on the run from Belfast Zoo has been found 'safe and well' in a local Glengormley garden 👍… https://t.co/nyxmyA1QXw,99
0.7506,Sat Feb 02 23:30:02 +0000 2019,@CBS,0.071,0.588,0.34,"Let @survivorcbs help you plan the #WorldsBest #SuperBowl party: hide immunity idols throughout the party which, wh… https://t.co/qUWiLzMPyB",0
0.8602,Sat Feb 02 19:07:06 +0000 2019,@CBS,0.0,0.69,0.31,"RT @TheTimMcGraw: Tune in tomorrow to see #ThoughtAboutYou Live on @CBS Super Bowl LIII Pregame Show, THE SUPER BOWL TODAY https://t.co/cMi…",1
0.4019,Sat Feb 02 18:30:00 +0000 2019,@CBS,0.0,0.87,0.13,Take a cue from @CBSBigBrother in throwing the #WorldsBest #SuperBowl party: Keep an eye on your Houseguests. Do th… https://t.co/POv6Y31O5P,2
0.0,Sat Feb 02 01:30:00 +0000 2019,@CBS,0.0,1.0,0.0,2 Days https://t.co/lwJJ3GB02k,3
0.8934,Fri Feb 01 22:00:00 +0000 2019,@CBS,0.0,0.599,0.401,"You laughed, you voted, and a winner was chosen. Find out which Super Bowl commercial is the all-time funniest:… https://t.co/Vp217dMGEF",4
0.0,Fri Feb 01 20:43:28 +0000 2019,@CBS,0.0,1.0,0.0,"The snacks are bought and the guests are invited, but you still don't know how you're going to watch #SBLIII? Don't… https://t.co/ntIaE0Exmh",5
0.6124,Fri Feb 01 20:29:28 +0000 2019,@CBS,0.074,0.704,0.222,RT @CBSWatch: Stuck on what to make for the Big Game? Get snack inspiration from the #SuperBowlLIII hosts—and find foolproof @CHOW recipes…,6
0.0,Fri Feb 01 19:00:01 +0000 2019,@CBS,0.0,1.0,0.0,All eyes are on Album Of The Year nominee @JanelleMonae who will take the #GRAMMYs stage on Feb. 10 at 8/7c. https://t.co/z1HecVwrCC,7
0.0,Fri Feb 01 16:45:23 +0000 2019,@CBS,0.0,1.0,0.0,Did @PriceIsRight just predict the outcome of #SBLIII? Guess we'll find out on Sunday. https://t.co/H7QMiXWcts,8
0.9231,Fri Feb 01 16:41:37 +0000 2019,@CBS,0.0,0.575,0.425,RT @TheTimMcGraw: Have loved football as long as I can remember… Excited to headline the Super Bowl LIII pregame festivities. Watch live Su…,9
0.4019,Fri Feb 01 14:50:20 +0000 2019,@CBS,0.0,0.876,0.124,"This just in: New music special ""MOTOWN 60: A #GRAMMYs CELEBRATION"" to broadcast Sunday, April 21 at 8/7c and featu… https://t.co/BVTfdEYjwr",10
0.296,Fri Feb 01 03:39:18 +0000 2019,@CBS,0.0,0.891,0.109,"RT @colbertlateshow: On #LSSC tonight: Tom Brady, John Johnson III join other stars of #SBLIII answer #JustOneQuestion from @stephenathome'…",11
0.0,Fri Feb 01 01:30:00 +0000 2019,@CBS,0.0,1.0,0.0,3 Days https://t.co/C1nZTiNS9H,12
0.6486,Fri Feb 01 01:02:35 +0000 2019,@CBS,0.0,0.71,0.29,"@startrekcbs @CBSAllAccess Well, the game is Stardate, um, Sunday. We'll save you a seat. 🏈🖖 https://t.co/9cDQIOBRyz",13
0.4019,Fri Feb 01 00:30:00 +0000 2019,@CBS,0.0,0.87,0.13,Take a cue from @startrekcbs to plan the #WorldsBest #SuperBowl party: Don't be afraid to explore space. Move furni… https://t.co/GxotlR1jZH,14
0.4588,Thu Jan 31 23:30:00 +0000 2019,@CBS,0.0,0.846,0.154,"As hosts of the Big Game, we want you to have the #WorldsBest #SuperBowl party. Over the next few days, look for pa… https://t.co/DigGMH0Qn4",15
0.0,Thu Jan 31 20:15:51 +0000 2019,@CBS,0.0,1.0,0.0,.@survivorcbs and @JeffProbst will bring you to the Edge of Extinction for Season 38. How far are the players willi… https://t.co/McvKXnJ7k0,16
0.8271,Thu Jan 31 20:00:00 +0000 2019,@CBS,0.0,0.688,0.312,"When @ChrisStapleton stepped on stage to receive his 2018 #GRAMMY Award for Best Country Album, you could instantly… https://t.co/9fcVEClvWr",17
0.5994,Thu Jan 31 18:21:42 +0000 2019,@CBS,0.0,0.813,0.187,RT @colbertlateshow: This Super Bowl ad is the most emotionally manipulative ad you've ever seen. #LSSC https://t.co/eqe99vQpjk https://t.c…,18
0.4215,Thu Jan 31 14:34:41 +0000 2019,@CBS,0.0,0.817,0.183,The spotlight is ready for the incomparable @DianaRoss whose landmark career will be recognized at the #GRAMMYs wit… https://t.co/SzR0KGh8rq,19
0.0,Thu Jan 31 01:15:00 +0000 2019,@CBS,0.0,1.0,0.0,4 Days https://t.co/09L2QRz04D,20
0.6369,Thu Jan 31 00:36:56 +0000 2019,@CBS,0.0,0.606,0.394,We're ready... Ready to host the #WorldsBest #SuperBowl party. https://t.co/dWen1LEe9H,21
0.0258,Thu Jan 31 00:05:39 +0000 2019,@CBS,0.096,0.803,0.1,"RT @startrekcbs: Will we ever see a tribble episode?

“The tribbles should get their own 24-hour channel like the fire place channel.” - Al…",22
